region,cell_type,process,n_ft,n_sham,n_genes,mean_ft,mean_sham,difference,hedges_g,p_permutation,genes_present,q_bh
ventral_DG,Microglia1,activation,3,4,3,0.06312746922054353,0.0,0.06312746922054353,0.7687334140423384,0.42857142857142855,Sox2;Ascl1;Fabp7,0.8697478991596638
ventral_DG,Microglia2,activation,4,5,3,0.058237740244721656,0.08499329853346242,-0.026755558288740766,-0.43278472682621155,0.5952380952380952,Sox2;Ascl1;Fabp7,0.9199999999999999
ventral_DG,Mossy,activation,4,3,3,0.06103004860519446,0.0,0.06103004860519446,0.6701545731179658,0.42857142857142855,Sox2;Ascl1;Fabp7,0.8697478991596638
ventral_DG,Oligodend1,activation,3,5,3,0.5750936213029684,0.6905821491000033,-0.11548852779703489,-0.46797491499177324,0.4642857142857143,Sox2;Ascl1;Fabp7,0.8737012987012988
ventral_DG,Oligodend2,activation,4,5,3,0.6014897518062231,0.6206129699671585,-0.01912321816093543,-0.08032899827024803,0.8888888888888888,Sox2;Ascl1;Fabp7,0.9857142857142857
ventral_DG,OPC,activation,4,5,3,0.8324883668026872,0.667433099483614,0.16505526731907327,0.4453427394683702,0.5317460317460317,Sox2;Ascl1;Fabp7,0.9199999999999999
ventral_DG,AstroSub1,differentiation,4,4,4,0.025282226350110022,0.0543005923244112,-0.02901836597430118,-0.5456837798111135,0.4,Eomes;Neurod1;Dcx;Tubb3,0.8697478991596638
ventral_DG,Endothelial,differentiation,3,4,4,0.03419699367156789,0.003630226548156451,0.030566767123411435,1.0048486741801859,0.05714285714285714,Eomes;Neurod1;Dcx;Tubb3,0.5914285714285714
ventral_DG,ExcitNeuron,differentiation,3,4,4,0.4474259948268651,0.4075667563229851,0.03985923850388001,0.13904344463893298,0.8571428571428571,Eomes;Neurod1;Dcx;Tubb3,0.9857142857142857
ventral_DG,Granule,differentiation,3,3,4,0.19819238969468608,0.03579745613161572,0.16239493356307036,1.235634783640568,0.2,Eomes;Neurod1;Dcx;Tubb3,0.8448979591836736
ventral_DG,InhibNeuron,differentiation,4,3,4,0.2866722347383758,0.11966927512802418,0.1670029596103516,0.9763818713867188,0.2571428571428571,Eomes;Neurod1;Dcx;Tubb3,0.8697478991596638
ventral_DG,Microglia1,differentiation,3,4,4,0.03154015092399855,0.049696830838227214,-0.018156679914228667,-0.18118669737765503,1.0,Eomes;Neurod1;Dcx;Tubb3,1.0
ventral_DG,Microglia2,differentiation,4,5,4,0.051125749199673054,0.039046434645952435,0.012079314553720619,0.29980869161797025,0.6190476190476191,Eomes;Neurod1;Dcx;Tubb3,0.9285714285714285
ventral_DG,Mossy,differentiation,4,3,4,0.11776396424819152,0.05932690775819801,0.05843705648999351,0.44778646296698715,0.5714285714285714,Eomes;Neurod1;Dcx;Tubb3,0.9199999999999999
ventral_DG,Oligodend1,differentiation,3,5,4,0.0346834612369647,0.05860501917537257,-0.023921557938407875,-0.4388624938100902,0.5357142857142857,Eomes;Neurod1;Dcx;Tubb3,0.9199999999999999
ventral_DG,Oligodend2,differentiation,4,5,4,0.052952256232183956,0.1532839027744918,-0.10033164654230785,-1.722778058306513,0.023809523809523808,Eomes;Neurod1;Dcx;Tubb3,0.5914285714285714
ventral_DG,OPC,differentiation,4,5,4,0.12117405872313242,0.07288498448894172,0.048289074234190696,0.6450374264693041,0.30952380952380953,Eomes;Neurod1;Dcx;Tubb3,0.8697478991596638
ventral_DG,AstroSub1,maturation,4,4,6,0.04322054552411458,0.10763427750863523,-0.06441373198452066,-1.5802356435639515,0.08571428571428572,Dcx;Neurod1;Calb2;Calb1;Prox1;Rbfox3,0.7097142857142857
ventral_DG,Endothelial,maturation,3,4,6,0.029744083531543147,0.06195021772520958,-0.032206134193666434,-0.3698870792811068,0.8857142857142857,Dcx;Neurod1;Calb2;Calb1;Prox1;Rbfox3,0.9857142857142857
ventral_DG,ExcitNeuron,maturation,3,4,6,0.24022837765754992,0.268687548649444,-0.028459170991894073,-0.11657156720270279,0.8857142857142857,Dcx;Neurod1;Calb2;Calb1;Prox1;Rbfox3,0.9857142857142857
ventral_DG,Granule,maturation,3,3,6,0.20961174600728408,0.0794302209795665,0.13018152502771757,0.761166836537236,0.3,Dcx;Neurod1;Calb2;Calb1;Prox1;Rbfox3,0.8697478991596638
ventral_DG,InhibNeuron,maturation,4,3,6,0.2933415133933537,0.18798498868966385,0.10535652470368984,0.6985052313000283,0.42857142857142855,Dcx;Neurod1;Calb2;Calb1;Prox1;Rbfox3,0.8697478991596638
