dataset,contrast,gene,effect,statistic,p_value,q_value,within_contrast_rank
GSE222756,dorDG_FT_vs_Control,Tsen2,-0.6747879124491739,-6.357209828734907,2.0545126822301777e-10,7.52486611757546e-09,361.0
GSE222756,dorDG_FT_vs_Control,Tsfm,0.35507417379878986,3.2211549675051114,0.0012767509164151065,0.006865067351297494,2459.0
GSE222756,dorDG_FT_vs_Control,Tsg101,0.34183505570214856,4.396727244635489,1.0989529887835652e-05,0.00012261904149954683,1185.0
GSE222756,dorDG_FT_vs_Control,Tshz3,0.9168340283567452,5.3819397706484695,7.368742240441728e-08,1.5514253169286708e-06,628.0
GSE222756,dorDG_FT_vs_Control,Tsnax,-0.8086433557143319,-7.080040106451978,1.4411274759956687e-12,7.652444774142463e-11,249.0
GSE222756,dorDG_FT_vs_Control,Tspan12,-0.4292030890972871,-4.3718935496215465,1.2317358098001858e-05,0.00013470645886830485,1209.0
GSE222756,dorDG_FT_vs_Control,Tspan14,-0.5763300421372948,-4.187742870467586,2.817424544708032e-05,0.00027737890789374234,1343.0
GSE222756,dorDG_FT_vs_Control,Tspan15,0.6895821563997974,5.580461546959149,2.3988118254858258e-08,5.663766063673854e-07,560.0
GSE222756,dorDG_FT_vs_Control,Tspan31,-0.3665162518588903,-3.9002877638071243,9.60784204593098e-05,0.0007921514106578808,1603.0
GSE222756,dorDG_FT_vs_Control,Tspan33,0.4749488256754294,5.837862159759232,5.287487196758131e-09,1.523118860904924e-07,459.0
GSE222756,dorDG_FT_vs_Control,Tspan5,0.24694726166655626,4.078570602507607,4.531344184622644e-05,0.00042044514251986383,1425.0
GSE222756,dorDG_FT_vs_Control,Tspan8,-0.5326543813073847,-2.6823180129169293,0.0073113920114233205,0.028457823130715085,3397.0
GSE222756,dorDG_FT_vs_Control,Tspo,1.2277166855148116,4.161920266229015,3.155825499001232e-05,0.0003054635779487137,1366.0
GSE222756,dorDG_FT_vs_Control,Tspyl1,0.4936519354076544,4.491001979536346,7.088889220637054e-06,8.346330656746495e-05,1123.0
GSE222756,dorDG_FT_vs_Control,Tspyl4,-0.24263542853677933,-3.760254275837964,0.0001697407347653351,0.0012708448443189471,1766.0
GSE222756,dorDG_FT_vs_Control,Tsr2,-0.6197318751531122,-2.5980954168196835,0.009374244122793774,0.03488495800494772,3553.0
GSE222756,dorDG_FT_vs_Control,Tsta3,-0.5758915515202586,-5.3760595968553035,7.613360079885234e-08,1.6003791252184828e-06,629.0
GSE222756,dorDG_FT_vs_Control,Tstd2,-0.42165590031061395,-2.7781084999340964,0.005467635754394318,0.02253943052918859,3207.0
GSE222756,dorDG_FT_vs_Control,Ttc1,0.22851124893726965,2.8631976212991637,0.004193888985976471,0.018264690438926517,3036.0
GSE222756,dorDG_FT_vs_Control,Ttc17,-0.28664041149259456,-2.7300314053282086,0.006332829234179236,0.025251106192496337,3316.0
GSE222756,dorDG_FT_vs_Control,Ttc26,-0.548801904831668,-4.315399038976828,1.5931485309021052e-05,0.0001685168790047011,1250.0
GSE222756,dorDG_FT_vs_Control,Ttc3,0.44505431553901703,5.259314525778801,1.4459338806087537e-07,2.823949448952576e-06,677.0
GSE222756,dorDG_FT_vs_Control,Ttc5,-0.299024884316335,-3.977945338728278,6.951334616157152e-05,0.0006022971578953463,1526.0
GSE222756,dorDG_FT_vs_Control,Ttc7a,-0.438236072129836,-2.554282774805985,0.010640680141363988,0.03852439015035998,3652.0
